NumberOfDependents,Score
"(-inf, 0.0]",-14.581268983313423
"(0.0, 1.0]",13.450592093318724
"(1.0, 2.0]",12.323544730935366
"(2.0, 3.0]",11.733236400552306
"(3.0, inf]",9.531211499795596
